id;fee_year;due_date;jan_fee;feb_fee;mar_fee;apr_fee;may_fee;jun_fee;jul_fee;aug_fee;sep_fee;oct_fee;nov_fee;dec_fee;pay_by_date;create_date;last_modified;cancel_date
1;YEAR_2021;63795;30548;19252;81060;50157;41391;50956;80459;64197;81226;5863;78159;1372;2021-05-03;2021-05-04;2021-05-03;2021-05-04
2;YEAR_2021;75057;99008;78385;92796;71114;13160;8580;68627;18229;2783;97870;45925;66654;2021-05-04;2021-05-04;2021-05-04;2021-05-04
3;YEAR_2022;51572;52702;62147;29486;23473;20756;13619;86017;31975;38708;94345;86454;53005;2021-05-04;2021-05-03;2021-05-03;2021-05-04
4;YEAR_2021;64721;26215;33266;50182;6498;53325;40519;3;24934;93754;72751;38136;75852;2021-05-04;2021-05-04;2021-05-04;2021-05-03
5;YEAR_2022;81325;95612;57096;71101;5988;12964;493;39900;30871;24758;68050;44099;99946;2021-05-03;2021-05-03;2021-05-04;2021-05-04
6;YEAR_2022;63117;83917;20769;33753;90374;39882;13546;60514;30188;22039;42894;92639;8526;2021-05-03;2021-05-03;2021-05-04;2021-05-04
7;YEAR_2022;5591;91209;67595;94561;84548;8902;19763;41975;36282;44912;42251;21210;3589;2021-05-04;2021-05-04;2021-05-04;2021-05-03
8;YEAR_2021;67669;25082;9029;45796;81362;17200;35577;39182;11937;87003;7138;88067;50757;2021-05-04;2021-05-04;2021-05-03;2021-05-04
9;YEAR_2022;23582;97813;1186;69779;25132;50085;30126;86480;28802;52169;75271;34866;30181;2021-05-04;2021-05-04;2021-05-04;2021-05-04
10;YEAR_2021;52017;93151;66497;20311;75933;34772;94694;92387;58891;14866;42323;31821;27356;2021-05-03;2021-05-04;2021-05-03;2021-05-04
