id;school_date;class_work_text;home_work_text;work_status;lesion_plan_file;lesion_plan_file_content_type;lession_plan_file_link;create_date;last_modified;cancel_date
1;2021-05-03;mobile exploit;Incredible;NotStarted;../fake-data/blob/hipster.png;image/png;Avon bandwidth moratorium;2021-05-04;2021-05-03;2021-05-03
2;2021-05-03;Books override;Mandatory Industrial;InProgress;../fake-data/blob/hipster.png;image/png;Rest Plastic;2021-05-04;2021-05-04;2021-05-04
3;2021-05-04;Account;Jordan SDD Officer;OffTrack;../fake-data/blob/hipster.png;image/png;Representative;2021-05-04;2021-05-03;2021-05-03
4;2021-05-04;Chicken help-desk;Avon Squares;NotStarted;../fake-data/blob/hipster.png;image/png;firewall Roads;2021-05-04;2021-05-04;2021-05-03
5;2021-05-03;Ngultrum;Associate;OffTrack;../fake-data/blob/hipster.png;image/png;Checking Keyboard Beauty;2021-05-04;2021-05-04;2021-05-04
6;2021-05-03;Versatile;Comoros XSS;NotStarted;../fake-data/blob/hipster.png;image/png;Liaison Dobra Centralized;2021-05-03;2021-05-04;2021-05-03
7;2021-05-03;Granite web-readiness;Ergonomic USB firewall;OffTrack;../fake-data/blob/hipster.png;image/png;Home;2021-05-04;2021-05-04;2021-05-03
8;2021-05-04;Hat;transform Hungary;InProgress;../fake-data/blob/hipster.png;image/png;cultivate;2021-05-04;2021-05-04;2021-05-04
9;2021-05-04;Executive;generate;OnTrack;../fake-data/blob/hipster.png;image/png;turquoise back-end Soft;2021-05-03;2021-05-04;2021-05-03
10;2021-05-04;system-worthy generate;invoice;OffTrack;../fake-data/blob/hipster.png;image/png;Gabon;2021-05-04;2021-05-03;2021-05-04
