id;subject_name;create_date;last_modified;cancel_date
1;functionalities payment;2021-05-03;2021-05-03;2021-05-04
2;deliver synergistic;2021-05-04;2021-05-04;2021-05-03
3;next-generation withdrawal Buckinghamshire;2021-05-04;2021-05-04;2021-05-03
4;connecting;2021-05-04;2021-05-04;2021-05-03
5;invoice technologies CSS;2021-05-04;2021-05-04;2021-05-03
6;withdrawal Tools;2021-05-03;2021-05-04;2021-05-04
7;Direct Jersey;2021-05-03;2021-05-04;2021-05-04
8;Account Manager Markets;2021-05-04;2021-05-04;2021-05-03
9;optimize Connecticut maximized;2021-05-04;2021-05-04;2021-05-04
10;responsive;2021-05-03;2021-05-04;2021-05-04
