id;entrytype;last_generated_id;start_id;create_date;last_modified;cancel_date
1;STUDENT;42804;18712;2021-05-03;2021-05-04;2021-05-03
2;VOUCHERID;1233;1753;2021-05-03;2021-05-04;2021-05-03
3;EXAMID;58574;78912;2021-05-03;2021-05-03;2021-05-04
4;EXAMID;77779;63876;2021-05-03;2021-05-03;2021-05-03
5;RECEIPT;93305;6239;2021-05-03;2021-05-04;2021-05-03
6;VOUCHERID;70926;83304;2021-05-03;2021-05-04;2021-05-04
7;EXAMID;33417;69267;2021-05-03;2021-05-04;2021-05-04
8;RECEIPT;21028;57738;2021-05-03;2021-05-04;2021-05-04
9;RECEIPT;78190;63743;2021-05-04;2021-05-03;2021-05-04
10;RECEIPT;87611;19209;2021-05-04;2021-05-04;2021-05-04
