id;amount_paid;mode_of_pay;note_numbers;upi_id;remarks;payment_date;receipt_id;create_date;last_modified;cancel_date;transaction_type
1;79687;CASH;core Home;asynchronous;upward-trending Massachusetts system;2022-03-14;JBOD cutting-edge;2022-03-14;2022-03-14;2022-03-14;INCOME
2;35868;UPI;Regional Fresh;Nauru Dinar Plastic;dynamic Principal;2022-03-15;plum Implementation explicit;2022-03-15;2022-03-14;2022-03-15;INCOME
3;26362;CASH;Director;Shoes deposit bluetooth;policy Up-sized;2022-03-15;application Rustic Facilitator;2022-03-15;2022-03-15;2022-03-15;EXPENSE
4;81268;CASH;primary;web;Engineer;2022-03-15;Borders Buckinghamshire;2022-03-14;2022-03-15;2022-03-14;EXPENSE
5;49047;UPI;matrix Applications;Chief Borders SDR;value-added;2022-03-15;HDD exploit SDR;2022-03-14;2022-03-15;2022-03-15;INCOME
6;12683;CASH;index;integrated Future needs-based;Global;2022-03-15;Programmable transparent;2022-03-15;2022-03-15;2022-03-14;INCOME
7;91323;CASH;Mouse Roads value-added;intranet paradigms Beauty;bluetooth;2022-03-15;invoice time-frame Savings;2022-03-14;2022-03-14;2022-03-15;INCOME
8;41542;CASH;transparent magenta indexing;stable;Credit Fish Hat;2022-03-14;Manager UIC-Franc Dynamic;2022-03-15;2022-03-15;2022-03-15;INCOME
9;4419;CASH;Peso Analyst;Bike Bedfordshire;Village;2022-03-14;1080p;2022-03-14;2022-03-15;2022-03-14;EXPENSE
10;44301;UPI;Grocery redefine Checking;monitor program backing;turn-key Metrics Fiji;2022-03-15;Small Dynamic content;2022-03-14;2022-03-15;2022-03-14;INCOME
