id;question_import_file;question_import_file_content_type;question_text;question_image;question_image_content_type;answer_image;answer_image_content_type;image_side_by_side;option_1;option_2;option_3;option_4;option_5;status;weightage;difficulty_level;create_date;last_modified;cancel_date
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;Handcrafted Kiribati Cambridgeshire;America;complexity systematic;HDD;Nepalese protocol;DRAFT;64017;HARD;2022-04-25;2022-04-25;2022-04-25
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;group global;Mouse Avon well-modulated;online Response;withdrawal utilize;withdrawal;ONLINE;62319;EASY;2022-04-26;2022-04-25;2022-04-25
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;Representative;Sweden;generate Garden wireless;Franc Computers;Toys;PUBLISHED;66912;MEDIUM;2022-04-25;2022-04-26;2022-04-25
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;USB (customarily;Alabama 1080p payment;connect;Serbian;Mouse;INPROGRESS;46705;HARD;2022-04-25;2022-04-26;2022-04-26
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Fish;Refined;Gloves functionalities Washington;Shoes;Riyal empowering Ruble;INPROGRESS;94418;MEDIUM;2022-04-25;2022-04-25;2022-04-25
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Bike;cyan Franc;Buckinghamshire protocol Crossing;indexing;Euro Direct;ONLINE;72665;MEDIUM;2022-04-25;2022-04-26;2022-04-25
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;synthesizing;Practical architecture;auxiliary Bedfordshire;Expanded capacity;Mews;DRAFT;96867;EASY;2022-04-25;2022-04-26;2022-04-25
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;SSL backing Music;SCSI Kuna;New Ball Group;Unions orange;Legacy;PUBLISHED;55539;EASY;2022-04-25;2022-04-25;2022-04-25
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;firewall;Web Malawi;Rustic Refined;whiteboard Account communities;Automotive;DRAFT;60796;MEDIUM;2022-04-25;2022-04-25;2022-04-25
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;customer;frame systems;Maine Serbian Assurance;monitoring;Account Associate;INPROGRESS;80868;EASY;2022-04-26;2022-04-26;2022-04-26
