id;question_type;marks;create_date;last_modified;cancel_date
1;compressing;54193;2022-04-25;2022-04-26;2022-04-26
2;up;32112;2022-04-26;2022-04-25;2022-04-25
3;Dinar;70856;2022-04-26;2022-04-26;2022-04-26
4;back-end;15000;2022-04-25;2022-04-26;2022-04-25
5;Gorgeous Convertible intangible;68846;2022-04-26;2022-04-26;2022-04-25
6;Station;48102;2022-04-26;2022-04-25;2022-04-25
7;blue;12224;2022-04-25;2022-04-26;2022-04-25
8;Industrial Intelligent Fresh;32030;2022-04-25;2022-04-26;2022-04-26
9;Lead Organic solutions;23762;2022-04-26;2022-04-25;2022-04-26
10;Secured;1193;2022-04-25;2022-04-26;2022-04-26
