id;day_off_type;day_off_name;day_off_details;start_date;end_date;create_date;last_modified;cancel_date
1;VACATION;leverage Producer;turquoise Account transmit;2021-05-04;2021-05-04;2021-05-04;2021-05-03;2021-05-04
2;EMERGENCY;generate Executive leverage;Internal;2021-05-04;2021-05-04;2021-05-03;2021-05-04;2021-05-04
3;WEEKEND;Texas Cotton;firewall Toys Computer;2021-05-04;2021-05-04;2021-05-04;2021-05-04;2021-05-04
4;PUBLIC_HOLIDAY;alarm RAM;Rubber;2021-05-04;2021-05-04;2021-05-03;2021-05-04;2021-05-04
5;EMERGENCY;array Sao Reverse-engineered;withdrawal Rustic;2021-05-04;2021-05-03;2021-05-04;2021-05-04;2021-05-04
6;EMERGENCY;program generate;multi-byte Kansas green;2021-05-03;2021-05-04;2021-05-04;2021-05-04;2021-05-03
7;VACATION;program;Soap RAM Administrator;2021-05-03;2021-05-04;2021-05-04;2021-05-04;2021-05-03
8;PUBLIC_HOLIDAY;Path;Implemented;2021-05-03;2021-05-03;2021-05-04;2021-05-04;2021-05-03
9;PUBLIC_HOLIDAY;dynamic Corporate intuitive;Tunisian;2021-05-04;2021-05-03;2021-05-04;2021-05-04;2021-05-04
10;PUBLIC_HOLIDAY;copy vertical;responsive;2021-05-04;2021-05-04;2021-05-04;2021-05-04;2021-05-04
