id;event_name;event_details;start_date;end_date;create_date;last_modified;cancel_date
1;digital;Table Bedfordshire methodical;2021-05-04;2021-05-04;2021-05-04;2021-05-04;2021-05-03
2;auxiliary;Auto;2021-05-03;2021-05-04;2021-05-03;2021-05-03;2021-05-03
3;Steel Mills;reboot;2021-05-03;2021-05-03;2021-05-04;2021-05-03;2021-05-04
4;Lead Senior bi-directional;Litas Row;2021-05-03;2021-05-04;2021-05-03;2021-05-04;2021-05-03
5;Dollar connecting;Bermuda RSS;2021-05-04;2021-05-04;2021-05-03;2021-05-04;2021-05-03
6;enable;AGP best-of-breed payment;2021-05-04;2021-05-03;2021-05-03;2021-05-04;2021-05-03
7;Applications invoice Specialist;B2C Causeway;2021-05-04;2021-05-04;2021-05-03;2021-05-04;2021-05-04
8;program indigo 24/7;Market architecture;2021-05-03;2021-05-04;2021-05-03;2021-05-04;2021-05-04
9;Guinea solution wireless;Metrics systems;2021-05-03;2021-05-03;2021-05-04;2021-05-04;2021-05-03
10;strategic enhance calculating;compressing Money navigate;2021-05-03;2021-05-03;2021-05-03;2021-05-04;2021-05-04
