id;notification_title;notification_details;notification_file;notification_file_content_type;notification_file_link;show_till_date;create_date;last_modified;cancel_date
1;withdrawal Handmade;Coves;../fake-data/blob/hipster.png;image/png;time-frame Bike;2021-05-04;2021-05-04;2021-05-04;2021-05-04
2;COM;bandwidth wireless;../fake-data/blob/hipster.png;image/png;Montana;2021-05-04;2021-05-04;2021-05-04;2021-05-04
3;Maine discrete impactful;Land;../fake-data/blob/hipster.png;image/png;neural;2021-05-04;2021-05-03;2021-05-03;2021-05-04
4;Colombia;Louisiana;../fake-data/blob/hipster.png;image/png;Generic Credit;2021-05-03;2021-05-03;2021-05-04;2021-05-03
5;Facilitator Global sexy;Principal;../fake-data/blob/hipster.png;image/png;deposit attitude;2021-05-03;2021-05-03;2021-05-04;2021-05-03
6;mindshare impactful;override JBOD;../fake-data/blob/hipster.png;image/png;Shirt indexing;2021-05-04;2021-05-04;2021-05-03;2021-05-03
7;Mission;Bacon Gold redundant;../fake-data/blob/hipster.png;image/png;auxiliary;2021-05-04;2021-05-03;2021-05-04;2021-05-03
8;Research Principal;Designer;../fake-data/blob/hipster.png;image/png;Corporate;2021-05-04;2021-05-03;2021-05-04;2021-05-03
9;PNG SQL;bluetooth generate Account;../fake-data/blob/hipster.png;image/png;deposit;2021-05-03;2021-05-04;2021-05-03;2021-05-04
10;Loan Intelligent blue;Tuna Arizona synergistic;../fake-data/blob/hipster.png;image/png;Zambia;2021-05-04;2021-05-04;2021-05-03;2021-05-04
