id;video_title;video_description;video_file;video_file_content_type;video_link;create_date;last_modified;cancel_date
1;Alabama Kroon Practical;Granite migration;../fake-data/blob/hipster.png;image/png;monitor;2021-05-04;2021-05-04;2021-05-03
2;Handcrafted;invoice Exclusive mobile;../fake-data/blob/hipster.png;image/png;ROI Cotton reboot;2021-05-04;2021-05-04;2021-05-04
3;Fantastic Armenian;compressing Small Account;../fake-data/blob/hipster.png;image/png;killer Technician Games;2021-05-04;2021-05-04;2021-05-03
4;Lead Team-oriented generating;Rustic hack Generic;../fake-data/blob/hipster.png;image/png;Integration;2021-05-04;2021-05-04;2021-05-03
5;pixel facilitate;deposit forecast;../fake-data/blob/hipster.png;image/png;XSS analyzer projection;2021-05-04;2021-05-04;2021-05-04
6;Intranet Assistant Specialist;cyan invoice Fresh;../fake-data/blob/hipster.png;image/png;Maine redundant;2021-05-03;2021-05-04;2021-05-04
7;back-end;Rubber Brunei;../fake-data/blob/hipster.png;image/png;Tasty Paradigm Enterprise-wide;2021-05-03;2021-05-03;2021-05-03
8;Ohio;Car CSS;../fake-data/blob/hipster.png;image/png;revolutionary;2021-05-04;2021-05-04;2021-05-03
9;Bacon;Dominican Licensed;../fake-data/blob/hipster.png;image/png;program FTP;2021-05-03;2021-05-04;2021-05-04
10;alarm;overriding;../fake-data/blob/hipster.png;image/png;Incredible Handmade didactic;2021-05-04;2021-05-04;2021-05-03
