id;fee_year;due_date;jan_add_chrg;feb_add_chrgc;mar_add_chrg;apr_add_chrg;may_add_chrg;jun_add_chrg;jul_add_chrg;aug_add_chrg;sep_add_chrg;oct_add_chrg;nov_add_chrg;dec_add_chrg;create_date;last_modified;cancel_date
1;YEAR_2021;38611;36544;49097;20547;91977;61337;45964;14163;24872;98814;31187;43153;51332;2021-05-04;2021-05-04;2021-05-03
2;YEAR_2021;19235;87640;86855;1935;58663;62178;53321;61975;47518;72860;74507;78101;803;2021-05-04;2021-05-03;2021-05-03
3;YEAR_2021;15560;69712;33659;3227;7888;89878;85200;80420;22920;73792;68317;21810;15483;2021-05-04;2021-05-04;2021-05-04
4;YEAR_2022;12532;90610;66339;44226;13190;31200;79085;21764;99057;38838;65314;6405;69326;2021-05-03;2021-05-04;2021-05-04
5;YEAR_2022;72069;83208;52898;40398;82858;1023;74127;78458;91778;44439;55141;70545;94184;2021-05-03;2021-05-04;2021-05-04
6;YEAR_2021;80867;84217;23089;323;57500;25445;2387;25332;15856;71554;79425;71811;40486;2021-05-04;2021-05-03;2021-05-03
7;YEAR_2021;4957;38608;83795;31499;97364;35987;55302;83222;43823;20428;620;51295;10717;2021-05-04;2021-05-03;2021-05-04
8;YEAR_2021;41924;5421;23154;10749;79206;11164;71050;43505;8761;15276;80021;11449;79203;2021-05-04;2021-05-04;2021-05-03
9;YEAR_2021;98050;72027;47916;47773;12405;41516;36067;51837;79516;17542;47498;99755;52599;2021-05-04;2021-05-03;2021-05-04
10;YEAR_2021;40249;9003;46919;79154;82366;23953;64372;91853;35672;62212;53767;30219;85847;2021-05-03;2021-05-03;2021-05-03
