id;school_date;attendence;create_date;last_modified;cancel_date
1;2021-05-04;false;2021-05-03;2021-05-04;2021-05-03
2;2021-05-04;false;2021-05-04;2021-05-04;2021-05-03
3;2021-05-03;false;2021-05-03;2021-05-04;2021-05-04
4;2021-05-03;false;2021-05-04;2021-05-04;2021-05-03
5;2021-05-03;false;2021-05-04;2021-05-04;2021-05-03
6;2021-05-04;true;2021-05-04;2021-05-04;2021-05-03
7;2021-05-03;true;2021-05-03;2021-05-03;2021-05-04
8;2021-05-04;false;2021-05-04;2021-05-04;2021-05-04
9;2021-05-04;false;2021-05-04;2021-05-04;2021-05-03
10;2021-05-04;false;2021-05-04;2021-05-04;2021-05-04
