id;fee_year;due_date;jan_fee_disc;feb_fee_disc;mar_fee_disc;apr_fee_disc;may_fee_disc;jun_fee_disc;jul_fee_disc;aug_fee_disc;sep_fee_disc;oct_fee_disc;nov_fee_disc;dec_fee_disc;create_date;last_modified;cancel_date
1;YEAR_2022;73438;19605;12497;65930;92806;76564;68445;82659;9224;90629;3631;54597;40827;2021-05-04;2021-05-04;2021-05-04
2;YEAR_2021;15392;95725;13236;51419;37730;62083;3291;92478;10923;9284;84786;35528;28301;2021-05-03;2021-05-03;2021-05-04
3;YEAR_2022;6675;81797;1764;17621;73335;66275;4356;12390;76279;82934;89382;34271;96588;2021-05-04;2021-05-03;2021-05-03
4;YEAR_2021;23148;88036;62230;76591;43556;62362;25581;42809;45119;89236;92652;32226;1098;2021-05-04;2021-05-04;2021-05-04
5;YEAR_2021;92954;27198;87790;26104;53604;56316;26036;99208;39075;79888;24948;22533;54463;2021-05-04;2021-05-03;2021-05-03
6;YEAR_2021;38177;56397;99000;67981;70406;11912;53510;74860;33057;9743;34245;48904;89273;2021-05-03;2021-05-04;2021-05-03
7;YEAR_2021;43122;4240;45113;20431;3288;74068;64620;28149;214;75603;83802;75704;64074;2021-05-04;2021-05-04;2021-05-03
8;YEAR_2022;59825;4454;92503;77702;71172;74510;70809;57283;26242;32995;10152;13660;1270;2021-05-04;2021-05-03;2021-05-03
9;YEAR_2021;12094;36479;37718;63013;76580;92314;90018;64747;88796;35520;28079;36192;69470;2021-05-04;2021-05-03;2021-05-03
10;YEAR_2021;62651;16095;99814;54061;61648;98037;7179;2075;41273;83791;30151;39753;29299;2021-05-04;2021-05-04;2021-05-04
