id;work_status;remarks;create_date;last_modified;cancel_date
1;NotDone;Soft;2021-05-03;2021-05-04;2021-05-03
2;Done;utilisation Chicken;2021-05-03;2021-05-03;2021-05-03
3;Done;program primary;2021-05-04;2021-05-04;2021-05-03
4;Done;viral;2021-05-03;2021-05-04;2021-05-03
5;Done;input Towels;2021-05-03;2021-05-03;2021-05-04
6;Done;technologies Rubber local;2021-05-03;2021-05-04;2021-05-04
7;NotDone;compress JBOD algorithm;2021-05-04;2021-05-03;2021-05-03
8;NotDone;Steel capability multimedia;2021-05-04;2021-05-04;2021-05-03
9;NotDone;Practical vortals Tasty;2021-05-04;2021-05-04;2021-05-03
10;NotDone;connecting;2021-05-03;2021-05-03;2021-05-03
