id;chapter_name;chapter_number;create_date;last_modified;cancel_date
1;Developer;52712;2021-05-04;2021-05-03;2021-05-03
2;repurpose Plastic;72019;2021-05-03;2021-05-04;2021-05-03
3;Mouse copy SCSI;93247;2021-05-04;2021-05-04;2021-05-03
4;Technician Colorado;74699;2021-05-03;2021-05-03;2021-05-04
5;reboot green;39186;2021-05-04;2021-05-03;2021-05-04
6;Mountain tan Borders;39931;2021-05-03;2021-05-03;2021-05-03
7;maroon hybrid;97385;2021-05-03;2021-05-03;2021-05-03
8;Directives Paradigm;85111;2021-05-04;2021-05-03;2021-05-03
9;Berkshire infomediaries Strategist;64325;2021-05-04;2021-05-04;2021-05-04
10;Bhutanese Jersey Incredible;9153;2021-05-03;2021-05-04;2021-05-03
