id;tag_text;tag_level;create_date;last_modified;cancel_date
1;Branding back-end circuit;FIFTH;2022-04-26;2022-04-25;2022-04-26
2;white;FIRST;2022-04-25;2022-04-25;2022-04-26
3;Grocery cyan;FIFTH;2022-04-25;2022-04-26;2022-04-26
4;Keyboard;SECOND;2022-04-26;2022-04-25;2022-04-26
5;Engineer open;FIRST;2022-04-25;2022-04-26;2022-04-25
6;Tobago;SECOND;2022-04-26;2022-04-25;2022-04-25
7;Bedfordshire Producer;SECOND;2022-04-25;2022-04-25;2022-04-26
8;synergistic Buckinghamshire Mali;FIFTH;2022-04-26;2022-04-25;2022-04-26
9;Fresh Frozen;THIRD;2022-04-26;2022-04-25;2022-04-25
10;solutions orchestrate transmitting;FIFTH;2022-04-26;2022-04-26;2022-04-26
